,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
727,Venta Apartamento cabrera 248mts,apartamento,False,"El Retiro, Chapinero, Bogotá, Cundinamarca",2230,millones,248.0,,4.0,5.0,2.0
728,Apartamento con terraza en venta en La Cabrera- Edificio OCTAVA,apartamento,False,"Cabrera, Chapinero, Bogotá, Cundinamarca",3922,millones,,242.0,3.0,3.0,3.0
729,"Venta de Apartamento en Marsella, Kennedy.",apartamento,False,"Marsella, Kennedy, Bogotá, Cundinamarca",304,millones,,,3.0,2.0,1.0
730,Apartamento Dúplex en venta o arriendo en La Cabrera ,apartamento,False,"Cabrera, Chapinero, Bogotá, Cundinamarca",2100,millones,,256.0,3.0,4.0,4.0
731,Venta Apartamento Duplex En Marsella,apartamento,False,"Marsella, Kennedy, Bogotá, Cundinamarca",395,millones,120.0,120.0,6.0,2.0,
732,VENTA DE APARTAMENTO HAYUELOS (FONTIBON),apartamento,False,"Hayuelos, Fontibón, Bogotá, Cundinamarca",220,millones,50.0,50.0,3.0,2.0,
733,"Bogota, Venta Apartamento Santa Paula 128 mts ",apartamento,False,"Santa Paula, Usaquén, Bogotá, Cundinamarca",1100,millones,128.0,128.0,2.0,3.0,2.0
734,BOGOTA VENDO APARTAMENTO SANTA BARBARA 180 MTS ,apartamento,False,"Santa Barbara, Usaquén, Bogotá, Cundinamarca",1350,millones,,180.0,3.0,5.0,2.0
735,Apartamento penthouse Dúplex en venta en Chicó Navarra,apartamento,False,"Chicó Navarra, Usaquén, Bogotá, Cundinamarca",1900,millones,,264.0,3.0,4.0,3.0
736,Apartamento moderno en venta en La Cabrera- Edificio OCTAVA ,apartamento,False,"La Cabrera, Chapinero, Bogotá, Cundinamarca",5640,millones,,300.0,3.0,3.0,3.0
737,"Apartamento en Venta en Chapinero Central, Chapinero.",apartamento,False,"Chapinero Central, Chapinero, Bogotá, Cundinamarca",250,millones,,,1.0,1.0,
738,Venta Apartamento en Chico III sector,apartamento,False,"Chicó , Chapinero, Bogotá, Cundinamarca",750,millones,,157.0,3.0,3.0,2.0
739,VENTA DE APARTAMENTO BATÁN (SUBA),apartamento,False,"Batan, Suba, Bogotá, Cundinamarca",500,millones,85.0,85.0,3.0,2.0,2.0
740,Venta Apartamento  Cedritos (Usaquen),apartamento,False,"Cedritos, Usaquén, Bogotá, Cundinamarca",460,millones,140.0,140.0,4.0,2.0,2.0
741,VENTA APARTAMENTO CON BALCÓN SANTA BÁRBARA USAQUÉN,apartamento,False,"Santa Bárbara Oriental, Usaquén, Bogotá, Cundinamarca",540,millones,74.0,74.0,2.0,2.0,2.0
742,"LUJOSO APARTAMENTO EN VENTA - CHICÓ ORIENTAL, BOGOTÁ",apartamento,False,"Chicó Oriental, Chapinero, Bogotá, Cundinamarca",3300,millones,,235.0,3.0,3.0,3.0
743,"APARTAMENTO VENTA CHICO RESERVADO, BOGOTA",apartamento,False,"Chico Reservado, Chapinero, Bogotá, Cundinamarca",950,millones,120.0,120.0,2.0,2.0,2.0
744,Venta Apartamento Santa Bárbara,apartamento,False,"Santa Bárbara, Usaquén, Bogotá, Cundinamarca",280,millones,52.0,52.0,1.0,1.0,1.0
745,"Apartamento para la venta y arriendo en Rosales, Rosales ",apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",749,millones,,,1.0,2.0,1.0
746,"APARTAMENTO VENTA EL NOGAL, BOGOTA",apartamento,False,"El Nogal, Chapinero, Bogotá, Cundinamarca",645,millones,55.0,55.0,1.0,2.0,2.0
747,"Apartamento en Venta en Ciudad Salitre, Teusaquillo",apartamento,False,"Ciudad Salitre, Teusaquillo, Bogotá, Cundinamarca",454,millones,,,3.0,2.0,1.0
748,SE VENDE APARTAMENTO EN NICOLAS DE FEDERMAN BOGOTA,apartamento,False,"Nicolás De Federman, Teusaquillo, Bogotá, Cundinamarca",800,millones,154.0,154.0,3.0,2.0,1.0
749,Venta Apartaestudio Chico Navarra 37 mts ,apartamento,False,"Chico Navarra, Usaquén, Bogotá, Cundinamarca",280,millones,37.0,37.0,1.0,1.0,1.0
750,Apartamento Gratamira 138,apartamento,False,"Gratamira, Suba, Bogotá, Cundinamarca",430,millones,,90.0,3.0,3.0,2.0
751,BOGOTA VENDO APTO PARA REMODELAR EN EL REFUGIO 250 MTS ,apartamento,False,"Refugio, Chapinero, Bogotá, Cundinamarca",1500,millones,,250.0,2.0,3.0,2.0
752,"APARTAMENTO VENTA SANTA BARBARA ALTA TERRAZA, BOGOTA",apartamento,False,"Santa Barbara Alta, Usaquén, Bogotá, Cundinamarca",1040,millones,175.0,155.0,3.0,3.0,2.0
753,Venta Apartamento en el Nogal 185 mts ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",2420,millones,185.0,,3.0,4.0,3.0
754,BOGOTA VENDO APARTAMENTO DUPLEX CHAPINERO 140 MTS ,apartamento,False,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",795,millones,,140.0,3.0,3.0,2.0
755,BOGOTA VENDO APARTAMENTO CONTADOR 58 MTS ,apartamento,False,"Contador, Usaquén, Bogotá, Cundinamarca",350,millones,,58.0,2.0,2.0,1.0
756,Venta Apartamento Rosales 280 mts ,apartamento,False,"Rosales, Chapinero, Bogotá, Cundinamarca",1995,millones,280.0,280.0,3.0,5.0,3.0
757,"APARTAMENTO VENTA LA COLINA, BOGOTA",apartamento,False,"Colina Campestre, Suba, Bogotá, Cundinamarca",475,millones,115.0,115.0,3.0,3.0,2.0
758,Apartamento moderno en venta en San Patricio ,apartamento,False,"San Patricio, Usaquén, Bogotá, Cundinamarca",765,millones,,85.0,2.0,3.0,5.0
759,"Bogotá, Venta Apartaestudio, San Patricio, 59 Mts ",apartamento,False,"San Patricio, Usaquén, Bogotá, Cundinamarca",410,millones,,59.0,1.0,2.0,1.0
760,"Bogota, Vendo Apartamento en Chico 180 Mts",apartamento,False,"Chicó , Chapinero, Bogotá, Cundinamarca",2200,millones,,180.0,3.0,4.0,2.0
761,VENTA APARTAMENTO CEDRITOS - CAOBOS - PARA ESTRENAR !!! 2754546,apartamento,False,"Caobos Salazar, Usaquén, Bogotá, Cundinamarca",431,millones,67.0,67.0,2.0,2.0,1.0
762,"BOGOTÁ, VENTA APARTAMENTO DÚPLEX EN CHICO, 115 MTS",apartamento,False,"Chicó , Chapinero, Bogotá, Cundinamarca",890,millones,,115.0,2.0,3.0,2.0
763,Apartamento remodelado en venta o arriendo en Chicó,apartamento,False,"Chico, Chapinero, Bogotá, Cundinamarca",820,millones,,118.0,3.0,3.0,2.0
764,Venta Apartamento en Rincon del Chico - 4383727,apartamento,False,"Rincón Del Chico, Usaquén, Bogotá, Cundinamarca",660,millones,118.0,118.0,3.0,2.0,2.0
