,Titulo,Tipo,Nuevo,Ubicacion,Precio,Precio en,total inmueble (m2),techado (m2),habitaciones,baños,parqueaderos
0,"Proyecto ""4991 Loft"" Apartaestudios de 21 m² en edificio con play zone, Bogotá",apartamento,True,"La Castellana, Usaquén, Bogotá, Cundinamarca",165,millones,21.0,21.0,1.0,1.0,
1,Explora el concepto Flex-Op: Hermoso apartamento de 33.66 m2,apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,31.0,26.0,1.0,1.0,
2,"Apartaestudios de 20 m² en proyecto con concepto microlinving en La Castellana, Bogotá",apartamento,True,"La Castellana, Usaquén, Bogotá, Cundinamarca",165,millones,20.0,20.0,1.0,1.0,
3,"Exclusivo y Moderno Apartamento de 164m² en Proyecto AMAZONIA96, Chicó Norte - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",2106,millones,164.0,144.0,2.0,3.0,2.0
4,Disfruta de un Espectacular apartamento en Proyecto inhome!58 - Galerías,apartamento,True,"Galerías, Teusaquillo, Bogotá, Cundinamarca",170,millones,22.0,20.0,1.0,1.0,
5,"OPORTUNIDAD ÚNICA: Apartamento de 56m², 2 Habitaciones en Nuevo Proyecto AMAZONIA96, Chicó - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",701,millones,56.0,51.0,2.0,2.0,1.0
6,"Espectacular Apartamento con 2 habitaciones en Nuevo Proyecto ""C60"", Chapinero - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",200,millones,35.0,30.0,2.0,1.0,
7,"Cómodo y moderno apartamento de 62m² en AMAZONIA96, Chicó Norte - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",712,millones,62.0,55.0,2.0,2.0,1.0
8,"Nuevo Proyecto ""C60"": Apartamentos Flex-Op con diseños únicos y excelentes acabados",apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,34.0,29.0,1.0,1.0,
9,"Impresionante Edificio Club House ""C60"", Apartamento de 25m2 en Chapinero",apartamento,True,"Chapinero, Bogotá, Cundinamarca",165,millones,25.0,20.0,1.0,1.0,
10,"Vive la experiencia Flex-Op en ""C60"", Apartamento de 30 m2, Chapinero",apartamento,True,"Chapinero, Bogotá, Cundinamarca",195,millones,30.0,26.0,1.0,1.0,
11,"Encantador apartamento de 37m²  en Nuevo Proyecto AMAZONIA96, Chicó - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",498,millones,37.0,33.0,1.0,2.0,1.0
12,"TREND SUITES, apartamentos desde 22 m² en Chapinero alto, Bogotá",apartamento,True,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",218,millones,22.0,20.0,1.0,1.0,
13,"Nueco concepto Flex-Op, apartamento en el corazón de Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,30.0,26.0,1.0,1.0,
14,"Exclusivo Apartamento de 73m² en Proyecto AMAZONIA96, Chicó - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",1300,millones,73.0,63.0,2.0,2.0,1.0
15,En C60 vive tu independencia en acogedor Apartamento de 27.09 m2,apartamento,True,"Chapinero, Bogotá, Cundinamarca",180,millones,27.0,22.0,1.0,1.0,
16,"Nuevo proyecto TREND SUITES, amplios apartamentos desde 68 m² en Chapinero alto, Bogotá",apartamento,True,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",647,millones,68.0,59.0,2.0,2.0,
17,Nuevo Proyecto SANTA MONICA: Elegante apartamento en Teusaquillo - Bogotá,apartamento,True,"La Soledad, Teusaquillo, Bogotá, Cundinamarca",393,millones,59.0,53.0,1.0,2.0,1.0
18,"Explora ""C60"" un nuevo proyecto de apartamentos en Chapinero - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",190,millones,32.0,27.0,1.0,1.0,
19,"Excelente Ocasión! Proyecto de apartamentos TREND SUITES, desde 44 m² en Chapinero alto, Bogotá",apartamento,True,"Chapinero Alto, Chapinero, Bogotá, Cundinamarca",437,millones,44.0,39.0,1.0,2.0,
20,"AMAZONIA96, hermoso Apartaestudio en Chicó de 28 m²",apartamento,True,"Chapinero, Bogotá, Cundinamarca",352,millones,28.0,28.0,1.0,1.0,1.0
21,"Acogedor apartaestudio en edificio con outdoor trx ""4991 Loft"",  Bogotá",apartamento,True,"La Castellana, Usaquén, Bogotá, Cundinamarca",165,millones,21.0,21.0,1.0,1.0,
22,"Exclusivo apartamento con excelentes acabados, de 33m2, Chapinero - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",195,millones,33.0,29.0,1.0,1.0,
23,"Elegante apartamento en proyecto C60, Chapinero Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",170,millones,26.0,21.0,1.0,1.0,
24,"Excelente oportunidad de INVERSIÓN: Apartamento en inhome!58, Galerías - Teusaquillo",apartamento,True,"Galerías, Teusaquillo, Bogotá, Cundinamarca",186,millones,27.0,23.0,1.0,1.0,
25,"Nuevo Proyecto AMAZONIA96, Apartamento de 92 m² en Chicó - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",1157,millones,92.0,84.0,2.0,3.0,2.0
26,"Exclusivo y Encantador apartamento de 57m²  en Nuevo Proyecto AMAZONIA96, Chicó - Bogotá",apartamento,True,"Chapinero, Bogotá, Cundinamarca",663,millones,57.0,52.0,2.0,2.0,1.0
27,"Moderno apartamento de 59m² en exclusivo Proyecto AMAZONIA96, Chicó - Chapinero.",apartamento,True,"Chapinero, Bogotá, Cundinamarca",885,millones,59.0,58.0,2.0,2.0,1.0
28,Chapinero: Excelente apartamento en exclusivo edificio “C60”,apartamento,True,"Chapinero, Bogotá, Cundinamarca",200,millones,32.0,26.0,1.0,1.0,
29,"Nuevo Proyecto de Apartamentos ""SANTA MONICA"", apartamento de 59m2 en Teusaquillo",apartamento,True,"La Soledad, Teusaquillo, Bogotá, Cundinamarca",394,millones,59.0,53.0,1.0,2.0,1.0
30,"¡GRAN OPORTUNIDAD! Acogedor apartamento de 25.54 m2, Chapinero",apartamento,True,"Chapinero, Bogotá, Cundinamarca",170,millones,25.0,22.0,1.0,1.0,
31,"Moderno apartamento en proyecto Vissani, ¡Tu hogar ideal para vivir!",apartamento,True,"Fontibón, Bogotá, Cundinamarca",541,millones,73.0,73.0,2.0,2.0,1.0
32,"En ""eÓn"", Teusaquillo: Apartamento de 67.07m2 con excelentes acabados",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",626,millones,67.0,67.0,2.0,2.0,1.0
33,"Impecable apartamento duplex en Proyecto “SMART 135”, Cedritos - Bogotá",apartamento,True,"Cedritos, Usaquén, Bogotá, Cundinamarca",463,millones,54.0,54.0,2.0,2.0,2.0
34,Amplio apartamento de 75.38m2 con 2 alcobas en Teusaquillo,apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",728,millones,75.0,75.0,2.0,2.0,1.0
35,"Proyecto ""eÓn"": Apartamento con terraza en la mejor ubicación de Bogotá",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",760,millones,67.0,67.0,2.0,2.0,
36,"Proyecto de apartamentos Vissani (65m²), Ciudad Salitre, Bogotá",apartamento,True,"Barrio Carlos LLeras, Fontibón, Bogotá, Cundinamarca",576,millones,73.0,73.0,2.0,2.0,1.0
37,"Proyecto Vissani, amplio apartamento de 118m²,  Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",1000,millones,118.0,118.0,3.0,3.0,2.0
38,"OCASIÓN INSUPERABLE: Proyecto TERRAZZE PARK 183, apartamento de 57m², Lijacá - Cundinamarca.",apartamento,True,"Lijaca, Usaquén, Bogotá, Cundinamarca",313,millones,57.0,57.0,2.0,2.0,1.0
39,"PROYECTO VIENA, apartamento de 66 m², Las Américas - Bogotá",apartamento,True,"Las Américas, Teusaquillo, Bogotá, Cundinamarca",412,millones,66.0,65.0,3.0,2.0,1.0
40,"¡Tu hogar ideal para vivir! Proyecto de apartamentos Vissani, Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",811,millones,101.0,101.0,3.0,2.0,2.0
41,"ÚLTIMO APARTAMENTO 70m², En exclusivo Proyecto TERRAZZE PARK 183 - Lijacá",apartamento,True,"Lijaca, Usaquén, Bogotá, Cundinamarca",369,millones,70.0,63.0,3.0,3.0,1.0
42,"Moderno apartamento de 2 alcobas, cerca a todo lo que necesitas en Teusaquillo",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",535,millones,54.0,54.0,2.0,2.0,1.0
43,"Acogedor Apartaestudio de 39m², 2 habitaciones en Proyecto VIENA, Las Américas.",apartamento,True,"Las Américas, Teusaquillo, Bogotá, Cundinamarca",252,millones,39.0,35.0,2.0,1.0,
44,"Proyecto VIENA, Acogedor apartamento de 59m² en Sector Las Américas..",apartamento,True,"Las Américas, Teusaquillo, Bogotá, Cundinamarca",378,millones,59.0,54.0,3.0,2.0,1.0
45,"Exclusivo Proyecto de apartamentos Vissani (Desde 29m²), Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",231,millones,29.0,29.0,1.0,2.0,
46,"Nuevo Proyecto VIENA, adquiere amplio apartamento de 73 m² en Las Américas, Bogotá.",apartamento,True,"Las Américas, Teusaquillo, Bogotá, Cundinamarca",459,millones,73.0,66.0,3.0,2.0,1.0
47,"Proyecto Vissani, apartamento de 73m² ¡Tu hogar ideal para vivir!",apartamento,True,"Fontibón, Bogotá, Cundinamarca",563,millones,73.0,73.0,2.0,2.0,1.0
48,"En venta elegante apartamento de 133m², ¡Proyecto VISSANI Tu hogar ideal para vivir! Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",1278,millones,133.0,133.0,3.0,3.0,2.0
49,"En Teusaquillo: Apartamento en proyecto céntrico y de alta valorización ""eÓn""",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",610,millones,61.0,61.0,2.0,2.0,1.0
50,"Exclusivos y modernos apartamentos  de 87m², Proyecto Vissani, Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",766,millones,87.0,78.0,3.0,2.0,2.0
51,"Apartamento de 77m² en sector exclusivo, Proyecto VISSANI, Bogotá.",apartamento,True,"Barrio Carlos LLeras, Fontibón, Bogotá, Cundinamarca",676,millones,73.0,73.0,3.0,2.0,1.0
52,"Amplio Apartamento de 66m², cerca a todo lo que necesitas en TERRAZZE PARK 183, Lijacá - Bogotá",apartamento,True,"Lijaca, Usaquén, Bogotá, Cundinamarca",367,millones,66.0,59.0,3.0,3.0,1.0
53,De Estreno: Apartamento con balcón en proyecto SMART 135 en Cedritos - Bogotá,apartamento,True,"Cedritos, Usaquén, Bogotá, Cundinamarca",382,millones,54.0,54.0,1.0,2.0,1.0
54,Cerca al aeropuerto: Apartamento de 79m2 con doble balcón en Bogotá,apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",699,millones,80.0,80.0,2.0,2.0,1.0
55,"Nuevo apartamento en edificio moderno “SMART 135”, Apartamento de 71m2 en Cedritos - Bogotá",apartamento,True,"Cedritos, Usaquén, Bogotá, Cundinamarca",463,millones,73.0,73.0,2.0,2.0,2.0
56,"Proyecto con alta valorización ""eÓn"", Acogedor apartamento en Teusaquillo - Bogotá",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",332,millones,33.0,33.0,1.0,1.0,1.0
57,"Moderno apartamento con balcón en proyecto “SMART 135”, Cedritos - Bogotá",apartamento,True,"Cedritos, Usaquén, Bogotá, Cundinamarca",580,millones,81.0,81.0,2.0,3.0,2.0
58,Apartamento de 111m² en proyecto Vissani ¡Tu hogar ideal para vivir! Bogotá,apartamento,True,"Fontibón, Bogotá, Cundinamarca",935,millones,111.0,102.0,3.0,3.0,2.0
59,"Vissani, Amplio e iluminado apartamento de 64 m², Bogotá ",apartamento,True,"Fontibón, Bogotá, Cundinamarca",564,millones,64.0,64.0,2.0,2.0,1.0
60,"¡Vissani tu hogar ideal para vivir! Apartamentos de 93m², Bogotá ",apartamento,True,"Barrio Carlos LLeras, Fontibón, Bogotá, Cundinamarca",801,millones,93.0,93.0,3.0,2.0,2.0
61,"Apartamento con 1 alcoba en proyecto mixto ""eÓn"" en Teusaquillo",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",463,millones,54.0,54.0,1.0,1.0,1.0
62,"Proyecto ""eÓn"": Moderno apartamento cerca al Aeropuerto Internacional ""El Dorado""",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",466,millones,45.0,45.0,1.0,1.0,1.0
63,EXCLUSIVO en Proyecto TERRAZZE PARK 183:  APARTAMENTO de 66m² en LIJICA - Cundinamarca.,apartamento,True,"Lijaca, Usaquén, Bogotá, Cundinamarca",339,millones,66.0,59.0,3.0,3.0,1.0
64,"Apartamento de 65.11m2 en moderno edificio mixto, Bogotá",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",589,millones,65.0,65.0,2.0,2.0,1.0
65,"Excelente Apartamento de 33m² en Bogotá, Proyecto Vissani",apartamento,True,"Fontibón, Bogotá, Cundinamarca",307,millones,33.0,33.0,1.0,1.0,
66,"Estupendo apartamento desde 107m² en Proyecto Vissani, Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",1025,millones,107.0,107.0,3.0,2.0,2.0
67,"Proyecto de apartamentos Vissani ( Desde 78m²), Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",651,millones,78.0,71.0,3.0,2.0,1.0
68,"Elegantes y amplios apartamentos en Proyecto VISSANI (153m²),  Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",1502,millones,153.0,153.0,3.0,3.0,3.0
69,Bonito apartamento en edificio con vista panorámica a la ciudad de Bogotá,apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",380,millones,37.0,37.0,1.0,1.0,1.0
70,"Apartamento en excelente ubicación, Proyecto Vissani, Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",1149,millones,118.0,118.0,3.0,3.0,2.0
71,"Hermosos apartamentos en Proyecto Vissani (Desde 94m²), Bogotá",apartamento,True,"Fontibón, Bogotá, Cundinamarca",771,millones,94.0,87.0,3.0,2.0,2.0
72,"Apartamento con 3 alcobas en moderno proyecto de 2 torres ""eÓn"", Bogotá",apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",710,millones,54.0,54.0,3.0,2.0,1.0
73,Apartamento con parqueadero y depósito en la mejor zona de Teusaquillo,apartamento,True,"Teusaquillo, Bogotá, Cundinamarca",437,millones,48.0,48.0,1.0,1.0,1.0
74,Proyecto Casteló Oasis Apartamento de 61m2 en Bogotá,apartamento,True,"Nueva Castilla, Kennedy, Bogotá, Cundinamarca",353,millones,61.0,53.0,3.0,2.0,1.0
75,"Proyecto Nueva Colina TURÓ, lindo e iluminado apartamento de 90m² en Bogotá.",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",577,millones,90.0,90.0,3.0,2.0,1.0
76,"Apartamentos exclusivos de 58m², en sector financiero de Bogotá - Quinta Camacho",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",541,millones,58.0,58.0,2.0,2.0,1.0
77,"Exclusivo apartamento en FIORHÉ, Chicó - Bogotá",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",4050,millones,246.0,246.0,3.0,3.0,3.0
78,"Apartamento exclusivo en FIORHÉ APARTAMENTOS, en pleno Corazón de Chicó",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",1416,millones,90.0,90.0,1.0,1.0,1.0
79,"Apartamento en exclusivo Proyecto FIORHÉ, Chicó - Bogotá",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",2052,millones,120.0,120.0,2.0,2.0,2.0
80,Ubicación privilegiada: Apartamento de 64m² en Proyecto LIFE 72 centro de Bogotá,apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",515,millones,64.0,64.0,2.0,2.0,1.0
81,"Apartamento de lujo en FIORHÉ APARTAMENTOS, sector El Chicó - Bogotá",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",2462,millones,153.0,153.0,2.0,2.0,2.0
82,"Perfecta Ocasión: Elegante apartamento de 71m2 en Proyecto mixto LIFE 72, centro financiero de Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",546,millones,71.0,71.0,2.0,2.0,1.0
83,"TURÓ Nueva Colina, Nuevo apartamento con finos acabados de 95m² - Bogotá.",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",596,millones,95.0,95.0,3.0,2.0,1.0
84,"APARTAMENTO DE ESTRENO: 58m² en EDIFICIO RESIDENCIAL MACEDONIA, Chicó Norte - Bogotá.",apartamento,True,"Chicó Norte, Chapinero, Bogotá, Cundinamarca",550,millones,58.0,52.0,1.0,2.0,2.0
85,"Acogedor Apartamento en Venta en EDIFICIO RESIDENCIAL MACEDONIA, de 81m², Chicó Norte - Bogotá.",apartamento,True,"Chicó Norte, Chapinero, Bogotá, Cundinamarca",785,millones,81.0,76.0,2.0,2.0,2.0
86,"Apartamentos de 43m² en PROYECTO LIFE 72, centro financiero de Bogotá.",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",411,millones,43.0,43.0,2.0,2.0,
87,"Excelente oportunidad! moderno apartamento de 77m2 en LIFE 72, Quinta Camacho - Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",546,millones,77.0,77.0,2.0,2.0,1.0
88,"De estreno! Apartamentos desde 36m2, Proyecto mixto Life 72, Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",293,millones,36.0,36.0,1.0,1.0,
89,"Duplex en FIORHÉ APARTAMENTOS, nuevo ícono de Arquitectura y diseño en Chicó",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",3116,millones,170.0,170.0,2.0,2.0,3.0
90,"DE ESTRENO: Apartamento de 71m² en EDIFICIO RESIDENCIAL MACEDONIA, Chicó Norte - Bogotá.",apartamento,True,"Chicó Norte, Chapinero, Bogotá, Cundinamarca",680,millones,71.0,65.0,2.0,2.0,2.0
91,"Proyecto de apartamentos TURÓ, Amplio apartamento de 86m² - Nueva Colina - Bogotá.",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",547,millones,86.0,78.0,3.0,2.0,1.0
92,"Proyecto TURÓ Nueva Colina, Elegante y amplio apartamento de 86m², excelente ubicación - Bogotá.",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",523,millones,86.0,86.0,3.0,2.0,1.0
93,"Modernos apartamentos desde 59m2 en Proyecto Casteló Oasis, Bogotá",apartamento,True,"Nueva Castilla, Kennedy, Bogotá, Cundinamarca",343,millones,59.0,55.0,3.0,2.0,1.0
94,"Modernos y cómodos apartamentos en LIFE 72, ubicación privilegiada de Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",609,millones,72.0,72.0,2.0,2.0,1.0
95,"PROYECTO MIXTO LIFE72, cómodos y amplios apartamentos desde 66 m2 en Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",541,millones,66.0,66.0,2.0,2.0,1.0
96,"OPORTUNIDAD INSUPERABLE: Amplio apartamento en LIFE 72, 88m2 en exclusivo sector de Bogotá",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",654,millones,88.0,78.0,2.0,2.0,1.0
97,"EXCLUSIVA ARQUITECTURA Y DISEÑO: Apartamento de lujo en “FIORHÉ”, Chicó - Bogotá",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",5170,millones,244.0,244.0,3.0,3.0,4.0
98,"Sector financiero de Bogotá, apartamento de 48.24m2 en Proyecto LIFE 72",apartamento,True,"Quinta Camacho, Chapinero, Bogotá, Cundinamarca",416,millones,48.0,48.0,2.0,2.0,
99,"“FIORHÉ APARTAMENTOS” Exclusividad y confort en un sólo lugar, en Chicó - Bogotá",apartamento,True,"El Chicó, Chapinero, Bogotá, Cundinamarca",3910,millones,200.0,200.0,3.0,3.0,3.0
100,"Nuevo Proyecto ALFAMA, funcional apartamento de 37 m² en Cedritos - Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",268,millones,37.0,34.0,1.0,1.0,
101,TORRE GUAYACÁN: Amplio apartaestudio de 39m² en Britalia Norte,apartamento,True,"Britalia norte, Suba, Bogotá, Cundinamarca",234,millones,39.0,39.0,1.0,1.0,1.0
102,"Proyecto de apartamentos Amonte Nueva Colina, desde 73m² en Bogotá",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",449,millones,73.0,64.0,2.0,2.0,1.0
103,"PROYECTO TORRE GUAYACÁN  Apartamento de 73m² en Britalia Norte, Bogotá",apartamento,True,"Britalia norte, Suba, Bogotá, Cundinamarca",342,millones,73.0,73.0,3.0,2.0,1.0
104,"Proyecto Amonte Nueva Colina, estupendo apartamento de 67m2 en Bogotá",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",408,millones,67.0,58.0,2.0,2.0,1.0
105,"PROYECTO ALFAMA: Moderno apartamento de 62 m² en Cedritos, Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",469,millones,62.0,58.0,2.0,2.0,2.0
106,"OPORTUNIDAD ÚNICA: Apartamento de 72m2 en Proyecto TOSCANA Torres de Hayuelos, Bogotá..",apartamento,True,"Hayuelos, Fontibón, Bogotá, Cundinamarca",371,millones,72.0,72.0,3.0,2.0,1.0
107,Ambiente tranquilo y rodeado de naturaleza: Apartamento de 43m2 en Barichara,apartamento,True,"Barichara, San Antonio de Prado, Medellín, Antioquia",148,millones,43.0,39.0,2.0,2.0,
108,JAZZ: Apartamento en la mejor ubicación del sector Los Colores,apartamento,True,"Los Colores, Medellín, Medellín, Antioquia",582,millones,104.0,94.0,3.0,2.0,
109,"Últimos departamentos con balcón en proyecto ""El Guayacán"", Valle del Cauca.  ",apartamento,True,"Cali, Cali, Valle del Cauca",170,millones,59.0,53.0,2.0,1.0,
110,"Calidad de vida para ti y tu familia en Antioquia, Apartamento de 76m2 con 3 dormitorios y balcón",apartamento,True,"Medellín, Medellín, Antioquia",395,millones,76.0,76.0,3.0,2.0,
111,"De estreno: SÉPTIMA AVENIDA APARTAMENTOS, desde 75m2 en Bogotá.",apartamento,True,"Barrancas, Usaquén, Bogotá, Cundinamarca",436,millones,75.0,70.0,3.0,2.0,1.0
112,"Proyecto AMONTE Nueva Colina, lindo apartamento 73m2 en Bogotá",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",441,millones,73.0,64.0,2.0,2.0,1.0
113,"Proyecto ALFAMA en Cedritos, lindo apartamento de 56 m² - Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",413,millones,56.0,52.0,2.0,2.0,1.0
114,"ALFAMA: Moderno apartamento de 58.39 m² en Cedritos, Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",456,millones,58.0,53.0,2.0,2.0,2.0
115,"APARTAMENTO de 76m2 en Toscana Torres de Hayuelos, sector de alta valorización en Bogotá",apartamento,True,"Hayuelos, Fontibón, Bogotá, Cundinamarca",406,millones,76.0,66.0,3.0,2.0,1.0
116,Apartamento con vista al exterior cerca a centros comerciales en Cali,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",369,millones,79.0,70.0,3.0,2.0,1.0
117,Se vende apartamento con amplia terraza de 21.88m2 en Cali,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",415,millones,112.0,83.0,,,2.0
118,En Bosques de Bochalema: Hermoso apartamento de 94.34m2 en venta,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",444,millones,94.0,83.0,3.0,2.0,2.0
119,"ALFAMA, estupendo apartamento de 58 m² en Cedritos - Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",429,millones,58.0,53.0,2.0,2.0,1.0
120,¡Oportunidad única! Apartamento de 107.32m2 con amplia terraza en Cali,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",405,millones,107.0,83.0,,,1.0
121,"Ubicación privilegiada, apartamento de estreno 71.8 m² cerca a centros comerciales, Bogotá.",apartamento,True,"Barrancas, Usaquén, Bogotá, Cundinamarca",413,millones,71.0,65.0,3.0,2.0,1.0
122,"Apartamento en PROYECTO TORRE GUAYACÁN, Britalia Norte - Bogotá",apartamento,True,"Britalia norte, Suba, Bogotá, Cundinamarca",342,millones,73.0,73.0,3.0,2.0,1.0
123,Excelente apartamento con 3 alcobas en residencial con piscina en Bochalema,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",351,millones,71.0,63.0,3.0,2.0,1.0
124,"Muévete al ritmo de la ciudad con proyecto JAZZ, Apartamento de 87m2",apartamento,True,"Los Colores, Medellín, Medellín, Antioquia",482,millones,87.0,77.0,3.0,2.0,
125,"SEPTIMA AVENIDA, Hermoso apartamento de estreno 66m² en Bogotá.",apartamento,True,"Barrancas, Usaquén, Bogotá, Cundinamarca",390,millones,66.0,60.0,2.0,2.0,1.0
126,"Sector Los Colores, Apartamento de 3 alcobas en proyecto JAZZ",apartamento,True,"Los Colores, Medellín, Medellín, Antioquia",493,millones,103.0,93.0,3.0,2.0,
127,Apartamento de 3 alcobas en la mejor ubicación del sector de Bochalema,apartamento,True,"Bochalema, Cali, Cali, Valle del Cauca",407,millones,94.0,83.0,3.0,2.0,2.0
128,"Apartamento de estreno en SEPTIMA AVENIDA, cerca centros comerciales, Bogotá.",apartamento,True,"Barrancas, Usaquén, Bogotá, Cundinamarca",320,millones,48.0,44.0,1.0,2.0,1.0
129,"Excelente oportunidad, apartamento de 67m2 en Proyecto Amonte Nueva Colina, Bogotá",apartamento,True,"Prado Veraniego, Suba, Bogotá, Cundinamarca",417,millones,67.0,58.0,2.0,2.0,1.0
130,Amplios e iluminados espacios: Departamentos desde 111m² en el Valle del Cauca.,apartamento,True,"Santa teresita, Cali, Cali, Valle del Cauca",540,millones,111.0,99.0,3.0,2.0,2.0
131,"Proyecto Toscana Torres de Hayuelos, Acogedor Apartamento de 66 m² en Fontibón - Bogotá",apartamento,True,"Hayuelos, Fontibón, Bogotá, Cundinamarca",345,millones,66.0,66.0,3.0,2.0,1.0
132,"GRAN OPORTUNIDAD: apartamento de 72m2 en TOSCANA Torres de Hayuelos, Bogotá",apartamento,True,"Hayuelos, Fontibón, Bogotá, Cundinamarca",388,millones,72.0,72.0,3.0,2.0,1.0
133,"ALFAMA, Apartamento en Cedritos de 39 m², Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",276,millones,39.0,35.0,1.0,1.0,
134,Apartamento de 102m2 con hermosa vista exterior en sector Los Colores,apartamento,True,"Los Colores, Medellín, Medellín, Antioquia",567,millones,102.0,93.0,3.0,2.0,
135,"Proyecto de apartamentos ALFAMA, desde 57 m² en Cedritos, Bogotá",apartamento,True,"Usaquén, Bogotá, Cundinamarca",421,millones,57.0,53.0,2.0,2.0,1.0
136,"TOSCANA TORRES DE HAYUELOS, Amplio y acogedor apartamento de 81 m2 en Hayuelos, Bogotá",apartamento,True,"Hayuelos, Fontibón, Bogotá, Cundinamarca",435,millones,81.0,70.0,3.0,2.0,1.0
137,"Proyecto ""JAZZ"": hermoso apartamento de 88m2 en sector Los Colores",apartamento,True,"Los Colores, Medellín, Medellín, Antioquia",491,millones,88.0,77.0,3.0,2.0,
138,¡Llevamos tu vida un paso adelante! Apartamento de 3 dormitorios en Antioquia,apartamento,True,"Medellín, Medellín, Antioquia",363,millones,65.0,59.0,3.0,2.0,
139,"Apartamento con excelente ubicación en Ciudad del Río, Medellín",apartamento,True,"Medellín, Medellín, Antioquia",543,millones,86.0,86.0,2.0,2.0,1.0
